0 , 0  , 000 , 000 , 
9 , 10  , 00000000-0000-0000-0000-000000000000 , DocProcesser END , 
4 , 9  , 00000000-0000-0000-0000-000000000000 , DocProcesser END , 
5 , 5  , 00000000-0000-0000-0000-000000000000 , DOC INSERTED , 
10 , 2  , 00000000-0000-0000-0000-000000000000 , DocProcesser END , 
10 , 6  , 00000000-0000-0000-0000-000000000000 , DOC INSERTED , 
5 , 4  , 00000000-0000-0000-0000-000000000000 , DOC INSERTED , 
4 , -1  ,  , THREAD COMPLETED , 
5 , 5  , 00000000-0000-0000-0000-000000000000 , DocProcesser END , 
10 , 10  , 00000000-0000-0000-0000-000000000000 , DOC INSERTED , 
10 , 6  , 00000000-0000-0000-0000-000000000000 , DocProcesser END , 
5 , 4  , 00000000-0000-0000-0000-000000000000 , DocProcesser END , 
5 , 3  , 00000000-0000-0000-0000-000000000000 , DOC INSERTED , 
5 , 9  , 00000000-0000-0000-0000-000000000000 , DOC INSERTED , 
10 , 10  , 00000000-0000-0000-0000-000000000000 , DocProcesser END , 
6 , 1  , 00000000-0000-0000-0000-000000000000 , DOC INSERTED , 
5 , 9  , 00000000-0000-0000-0000-000000000000 , DocProcesser END , 
5 , 8  , 00000000-0000-0000-0000-000000000000 , DOC INSERTED , 
5 , 3  , 00000000-0000-0000-0000-000000000000 , DocProcesser END , 
5 , 7  , 00000000-0000-0000-0000-000000000000 , DOC INSERTED , 
6 , 1  , 00000000-0000-0000-0000-000000000000 , DocProcesser END , 
6 , 9  , 00000000-0000-0000-0000-000000000000 , DOC INSERTED , 
5 , 8  , 00000000-0000-0000-0000-000000000000 , DocProcesser END , 
6 , 8  , 00000000-0000-0000-0000-000000000000 , DOC INSERTED , 
5 , 7  , 00000000-0000-0000-0000-000000000000 , DocProcesser END , 
6 , 7  , 00000000-0000-0000-0000-000000000000 , DOC INSERTED , 
6 , 9  , 00000000-0000-0000-0000-000000000000 , DocProcesser END , 
6 , 6  , 00000000-0000-0000-0000-000000000000 , DOC INSERTED , 
6 , 8  , 00000000-0000-0000-0000-000000000000 , DocProcesser END , 
5 , -1  ,  , THREAD COMPLETED , 
6 , 7  , 00000000-0000-0000-0000-000000000000 , DocProcesser END , 
6 , 5  , 00000000-0000-0000-0000-000000000000 , DOC INSERTED , 
6 , 6  , 00000000-0000-0000-0000-000000000000 , DocProcesser END , 
6 , 4  , 00000000-0000-0000-0000-000000000000 , DOC INSERTED , 
6 , 3  , 00000000-0000-0000-0000-000000000000 , DOC INSERTED , 
7 , 3  , 00000000-0000-0000-0000-000000000000 , DOC INSERTED , 
6 , 5  , 00000000-0000-0000-0000-000000000000 , DocProcesser END , 
7 , 2  , 00000000-0000-0000-0000-000000000000 , DOC INSERTED , 
6 , 4  , 00000000-0000-0000-0000-000000000000 , DocProcesser END , 
6 , 3  , 00000000-0000-0000-0000-000000000000 , DocProcesser END , 
7 , 3  , 00000000-0000-0000-0000-000000000000 , DocProcesser END , 
7 , 6  , 00000000-0000-0000-0000-000000000000 , DOC INSERTED , 
7 , 2  , 00000000-0000-0000-0000-000000000000 , DocProcesser END , 
8 , 2  , 00000000-0000-0000-0000-000000000000 , DOC INSERTED , 
6 , -1  ,  , THREAD COMPLETED , 
8 , 1  , 00000000-0000-0000-0000-000000000000 , DOC INSERTED , 
7 , 6  , 00000000-0000-0000-0000-000000000000 , DocProcesser END , 
7 , 10  , 00000000-0000-0000-0000-000000000000 , DOC INSERTED , 
8 , 2  , 00000000-0000-0000-0000-000000000000 , DocProcesser END , 
8 , 1  , 00000000-0000-0000-0000-000000000000 , DocProcesser END , 
7 , 9  , 00000000-0000-0000-0000-000000000000 , DOC INSERTED , 
7 , 10  , 00000000-0000-0000-0000-000000000000 , DocProcesser END , 
8 , 4  , 00000000-0000-0000-0000-000000000000 , DOC INSERTED , 
8 , 7  , 00000000-0000-0000-0000-000000000000 , DOC INSERTED , 
7 , 9  , 00000000-0000-0000-0000-000000000000 , DocProcesser END , 
8 , 6  , 00000000-0000-0000-0000-000000000000 , DOC INSERTED , 
8 , 7  , 00000000-0000-0000-0000-000000000000 , DocProcesser END , 
7 , -1  ,  , THREAD COMPLETED , 
8 , 4  , 00000000-0000-0000-0000-000000000000 , DocProcesser END , 
8 , 6  , 00000000-0000-0000-0000-000000000000 , DocProcesser END , 
8 , 9  , 00000000-0000-0000-0000-000000000000 , DOC INSERTED , 
9 , 3  , 00000000-0000-0000-0000-000000000000 , DOC INSERTED , 
9 , 2  , 00000000-0000-0000-0000-000000000000 , DOC INSERTED , 
9 , 1  , 00000000-0000-0000-0000-000000000000 , DOC INSERTED , 
8 , 9  , 00000000-0000-0000-0000-000000000000 , DocProcesser END , 
9 , 3  , 00000000-0000-0000-0000-000000000000 , DocProcesser END , 
9 , 2  , 00000000-0000-0000-0000-000000000000 , DocProcesser END , 
9 , 1  , 00000000-0000-0000-0000-000000000000 , DocProcesser END , 
8 , -1  ,  , THREAD COMPLETED , 
9 , 9  , 00000000-0000-0000-0000-000000000000 , DOC INSERTED , 
9 , 8  , 00000000-0000-0000-0000-000000000000 , DOC INSERTED , 
9 , 7  , 00000000-0000-0000-0000-000000000000 , DOC INSERTED , 
9 , 6  , 00000000-0000-0000-0000-000000000000 , DOC INSERTED , 
9 , 9  , 00000000-0000-0000-0000-000000000000 , DocProcesser END , 
9 , 8  , 00000000-0000-0000-0000-000000000000 , DocProcesser END , 
9 , 7  , 00000000-0000-0000-0000-000000000000 , DocProcesser END , 
9 , 6  , 00000000-0000-0000-0000-000000000000 , DocProcesser END , 
9 , 5  , 00000000-0000-0000-0000-000000000000 , DOC INSERTED , 
10 , 1  , 00000000-0000-0000-0000-000000000000 , DOC INSERTED , 
10 , 5  , 00000000-0000-0000-0000-000000000000 , DOC INSERTED , 
10 , 4  , 00000000-0000-0000-0000-000000000000 , DOC INSERTED , 
9 , 5  , 00000000-0000-0000-0000-000000000000 , DocProcesser END , 
10 , 1  , 00000000-0000-0000-0000-000000000000 , DocProcesser END , 
10 , 5  , 00000000-0000-0000-0000-000000000000 , DocProcesser END , 
10 , 4  , 00000000-0000-0000-0000-000000000000 , DocProcesser END , 
9 , -1  ,  , THREAD COMPLETED , 
10 , 3  , 00000000-0000-0000-0000-000000000000 , DOC INSERTED , 
10 , 9  , 00000000-0000-0000-0000-000000000000 , DOC INSERTED , 
10 , 8  , 00000000-0000-0000-0000-000000000000 , DOC INSERTED , 
10 , 7  , 00000000-0000-0000-0000-000000000000 , DOC INSERTED , 
10 , 3  , 00000000-0000-0000-0000-000000000000 , DocProcesser END , 
10 , 9  , 00000000-0000-0000-0000-000000000000 , DocProcesser END , 
10 , 8  , 00000000-0000-0000-0000-000000000000 , DocProcesser END , 
10 , 7  , 00000000-0000-0000-0000-000000000000 , DocProcesser END , 
10 , -1  ,  , THREAD COMPLETED , 
